fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.7000000000000001,2387762,2387767,0.1337,0.1325,0.59737,0.863945,0.548084,0.548084
2,0.7000000000000001,4775529,2387767,0.1331,0.1326,0.585309,0.858105,0.542014,0.542014
3,0.7000000000000001,7163296,2387767,0.133,0.1334,0.593882,0.8634,0.55213,0.55213
4,0.7000000000000001,9551063,2387767,0.133,0.1325,0.591516,0.861077,0.546582,0.546582
5,0.6500000000000001,11938830,2387767,0.1325,0.1319,0.606603,0.871576,0.560959,0.560959
