fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.8500000000000001,2379410,2379420,0.027,0.0265,0.275418,0.859298,0.326746,0.326746
2,0.8500000000000001,4758830,2379420,0.0268,0.022,0.253403,0.86981,0.317299,0.317299
3,0.8500000000000001,7138250,2379420,0.0253,0.0206,0.237362,0.87374,0.302406,0.302406
4,0.8500000000000001,9517670,2379420,0.0239,0.0236,0.279826,0.872177,0.328857,0.328857
5,0.8500000000000001,11897090,2379420,0.0239,0.0228,0.253171,0.808771,0.313312,0.313312
