feature,gain_importance,shap_mean_abs
spike_now,0.353676,0.013093
spike_in_last_6,0.138146,0.029048
cpu_vs_p95,0.116875,0.879272
time_since_last_spike,0.1132,0.196825
time_to_p95_3,0.061969,0.070232
cpu_spike_rate_24,0.060497,0.228518
cpu_vs_p99,0.059971,0.189382
spike_in_last_3,0.011339,0.005432
hour_cos,0.006983,0.177389
hour_sin,0.006789,0.180281
band_position,0.006239,0.009001
peak_cpu_vs_p95,0.00556,0.210126
cpu_vs_p95_delta,0.005494,0.077527
cluster_cpu_p90,0.005232,0.123265
total_cpu,0.003962,0.148298
band_width,0.003338,0.102087
n_tasks,0.002969,0.080805
machine_rank_in_cluster,0.002849,0.043379
disk_io,0.002798,0.092728
total_mem,0.002699,0.129609
cpu_vs_p95_slope_3,0.002499,0.005814
cpu_lag_1,0.002468,0.036708
peak_cpu,0.002375,0.158805
cpu_rolling_std_6,0.002334,0.060586
peak_cpu_vs_p99,0.002329,0.047984
peak_mem,0.002302,0.06813
spike_in_last_1,0.002268,0.001358
cpu_ewma_24,0.001672,0.102437
cpu_lag_24,0.001579,0.017497
cpu_ewma_6,0.001545,0.037557
cpu_delta_1,0.00152,0.014937
cpu_lag_12,0.001176,0.012144
cpu_delta_2,0.001089,0.033078
cpu_vs_p95_slope_6,0.001062,0.006253
task_dominance,0.000919,0.006662
cpu_per_task,0.000888,0.004814
spike_severe_in_last_6,0.000558,8.3e-05
spike_severe_in_last_1,0.000316,2e-06
spike_severe_now,0.000306,1e-05
spike_severe_in_last_3,0.00021,7e-06
