fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.7000000000000001,2387762,2387767,0.1337,0.1325,0.591768,0.859667,0.54291,0.54291
2,0.7000000000000001,4775529,2387767,0.1331,0.1326,0.576774,0.852004,0.532528,0.532528
3,0.7000000000000001,7163296,2387767,0.133,0.1334,0.588242,0.85854,0.54716,0.54716
4,0.7000000000000001,9551063,2387767,0.133,0.1325,0.584174,0.8552,0.540791,0.540791
5,0.7000000000000001,11938830,2387767,0.1325,0.1319,0.604044,0.868557,0.559775,0.559775
