feature,gain_importance,shap_mean_abs
spike_now,0.237095,0.005702
time_since_last_spike,0.162625,0.180734
cpu_vs_p95,0.142393,0.796885
cpu_spike_rate_24,0.114663,0.253083
cpu_vs_p99,0.072364,0.163383
time_to_p95_3,0.070174,0.051334
spike_in_last_6,0.067659,0.014254
spike_in_last_3,0.021514,0.007181
hour_cos,0.009618,0.205575
hour_sin,0.009533,0.186339
peak_cpu_vs_p95,0.008413,0.215351
cluster_cpu_p90,0.007566,0.084663
cpu_vs_p95_delta,0.00702,0.071953
total_cpu,0.006572,0.160366
band_width,0.004682,0.106153
n_tasks,0.004513,0.08142
total_mem,0.004055,0.133945
machine_rank_in_cluster,0.003877,0.044443
cpu_rolling_std_6,0.003864,0.069307
peak_cpu,0.003761,0.176415
disk_io,0.003566,0.084725
peak_mem,0.003133,0.068035
peak_cpu_vs_p99,0.002936,0.050506
cpu_lag_1,0.002892,0.034873
spike_in_last_1,0.002691,0.000594
cpu_ewma_24,0.002688,0.122321
cpu_lag_24,0.002579,0.021824
cpu_ewma_6,0.002399,0.044307
cpu_delta_1,0.001927,0.016683
cpu_lag_12,0.001771,0.014533
cpu_vs_p95_slope_3,0.001721,0.00392
cpu_vs_p95_slope_6,0.001692,0.007124
band_position,0.001644,0.003267
cpu_delta_2,0.001622,0.032201
task_dominance,0.001342,0.006218
spike_severe_in_last_6,0.001192,0.000151
cpu_per_task,0.000943,0.004756
spike_severe_now,0.000628,1e-05
spike_severe_in_last_1,0.000428,4e-06
spike_severe_in_last_3,0.000247,1e-05
