fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.5,2379410,2379420,0.1236,0.123,0.508683,0.809523,0.790305,0.471401
2,0.5,4758830,2379420,0.1233,0.1255,0.495028,0.801313,0.759663,0.452974
3,0.5,7138250,2379420,0.1241,0.1257,0.507024,0.808973,0.779392,0.464011
4,0.55,9517670,2379420,0.1245,0.1245,0.509494,0.803982,0.788011,0.469813
5,0.55,11897090,2379420,0.1245,0.1233,0.511617,0.791351,0.774101,0.465938
