fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.6500000000000001,2383586,2383593,0.1711,0.169,0.606331,0.843969,0.553982,0.553982
2,0.6500000000000001,4767179,2383593,0.1698,0.1689,0.593156,0.836211,0.544265,0.544265
3,0.6500000000000001,7150772,2383593,0.1696,0.1699,0.606192,0.843576,0.559171,0.559171
4,0.6000000000000001,9534365,2383593,0.1698,0.1692,0.60041,0.839743,0.550501,0.550501
5,0.6000000000000001,11917958,2383593,0.1694,0.1669,0.617038,0.85235,0.566538,0.566538
