feature,gain_importance,shap_mean_abs
spike_now,0.228962,0.001127
cpu_vs_p95,0.176851,0.870235
time_since_last_spike,0.168849,0.177701
cpu_spike_rate_24,0.110687,0.263727
spike_in_last_6,0.078188,0.007733
time_to_p95_3,0.046654,0.039739
cpu_vs_p99,0.039235,0.108802
spike_in_last_3,0.034013,0.009018
hour_cos,0.010279,0.206707
hour_sin,0.009704,0.192006
peak_cpu_vs_p95,0.008949,0.234756
cpu_vs_p95_delta,0.008256,0.071644
cluster_cpu_p90,0.007851,0.084911
total_cpu,0.007099,0.160022
n_tasks,0.004859,0.082519
band_width,0.00467,0.101083
total_mem,0.004227,0.135751
peak_cpu,0.004166,0.192142
cpu_rolling_std_6,0.004101,0.076519
machine_rank_in_cluster,0.003897,0.0385
disk_io,0.003784,0.084618
peak_mem,0.003499,0.06925
cpu_lag_1,0.003098,0.037539
cpu_ewma_24,0.002931,0.131053
peak_cpu_vs_p99,0.002924,0.048746
cpu_lag_24,0.002713,0.023741
cpu_ewma_6,0.00233,0.052339
cpu_delta_1,0.002158,0.016176
cpu_lag_12,0.001918,0.015491
cpu_vs_p95_slope_6,0.00188,0.007752
band_position,0.00185,0.002858
cpu_delta_2,0.001705,0.030025
cpu_vs_p95_slope_3,0.00155,0.003825
spike_in_last_1,0.001328,0.00036
task_dominance,0.001265,0.004735
spike_severe_in_last_6,0.001049,0.000418
cpu_per_task,0.001006,0.006148
spike_severe_in_last_3,0.000832,1.7e-05
spike_severe_in_last_1,0.000683,2e-06
spike_severe_now,0.0,0.0
