fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.8,2391940,2391938,0.0887,0.0886,0.58727,0.889021,0.550402,0.550402
2,0.8,4783878,2391938,0.0887,0.0887,0.570912,0.883003,0.544899,0.544899
3,0.7500000000000001,7175816,2391938,0.089,0.0891,0.577091,0.886816,0.547614,0.547614
4,0.7500000000000001,9567754,2391938,0.0887,0.0885,0.581763,0.887098,0.549739,0.549739
5,0.7500000000000001,11959692,2391938,0.0885,0.089,0.594896,0.89687,0.561347,0.561347
