fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.55,2379410,2379420,0.1236,0.123,0.512282,0.815124,0.79291,0.476102
2,0.55,4758830,2379420,0.1233,0.1255,0.501256,0.809304,0.765128,0.458173
3,0.55,7138250,2379420,0.1241,0.1257,0.514288,0.817343,0.787462,0.472302
4,0.55,9517670,2379420,0.1245,0.1245,0.516386,0.812503,0.792503,0.474846
5,0.55,11897090,2379420,0.1245,0.1233,0.51682,0.806245,0.793519,0.476818
