fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.5,2379410,2379420,0.1236,0.123,0.504243,0.803247,0.785397,0.464611
2,0.5,4758830,2379420,0.1233,0.1255,0.48945,0.793722,0.753945,0.446919
3,0.5,7138250,2379420,0.1241,0.1257,0.499133,0.801061,0.766087,0.453458
4,0.5,9517670,2379420,0.1245,0.1245,0.501468,0.797184,0.78056,0.463582
5,0.5,11897090,2379420,0.1245,0.1233,0.503706,0.780465,0.760424,0.454488
