fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.5,2379410,2379420,0.204,0.2009,0.557152,0.810447,0.740808,0.52009
2,0.5,4758830,2379420,0.2024,0.2005,0.566315,0.818039,0.739451,0.521327
3,0.5,7138250,2379420,0.2018,0.2014,0.577514,0.824238,0.748072,0.526631
4,0.5,9517670,2379420,0.2017,0.2012,0.571815,0.814941,0.742227,0.517913
5,0.5,11897090,2379420,0.2016,0.1972,0.552723,0.782214,0.755026,0.524338
