fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.7500000000000001,2391940,2391938,0.0887,0.0886,0.578665,0.883113,0.546947,0.546947
2,0.8,4783878,2391938,0.0887,0.0887,0.563062,0.87657,0.541764,0.541764
3,0.7500000000000001,7175816,2391938,0.089,0.0891,0.568145,0.879767,0.544401,0.544401
4,0.7500000000000001,9567754,2391938,0.0887,0.0885,0.572857,0.880193,0.546731,0.546731
5,0.7500000000000001,11959692,2391938,0.0885,0.089,0.589673,0.89199,0.559332,0.559332
