fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.15000000000000002,2379410,2379420,0.027,0.0265,0.247242,0.803127,0.303923,0.303923
2,0.15000000000000002,4758830,2379420,0.0268,0.022,0.216738,0.782223,0.291606,0.291606
3,0.15000000000000002,7138250,2379420,0.0253,0.0206,0.20435,0.770712,0.278888,0.278888
4,0.15000000000000002,9517670,2379420,0.0239,0.0236,0.246131,0.796854,0.310758,0.310758
5,0.15000000000000002,11897090,2379420,0.0239,0.0228,0.23989,0.793216,0.306479,0.306479
