fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.1,2379410,2379420,0.027,0.0265,0.249851,0.81876,0.300939,0.300939
2,0.15000000000000002,4758830,2379420,0.0268,0.022,0.216192,0.796815,0.283946,0.283946
3,0.1,7138250,2379420,0.0253,0.0206,0.207022,0.795126,0.273358,0.273358
4,0.15000000000000002,9517670,2379420,0.0239,0.0236,0.252203,0.820253,0.305129,0.305129
5,0.15000000000000002,11897090,2379420,0.0239,0.0228,0.243716,0.819023,0.303068,0.303068
