fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.6500000000000001,2383586,2383593,0.1711,0.169,0.613695,0.849331,0.559955,0.559955
2,0.6500000000000001,4767179,2383593,0.1698,0.1689,0.604856,0.843827,0.556737,0.556737
3,0.6500000000000001,7150772,2383593,0.1696,0.1699,0.61453,0.850533,0.566156,0.566156
4,0.6500000000000001,9534365,2383593,0.1698,0.1692,0.609023,0.846687,0.558053,0.558053
5,0.6000000000000001,11917958,2383593,0.1694,0.1669,0.6191,0.853985,0.569022,0.569022
