fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.8,2379410,2379420,0.027,0.0265,0.260575,0.840357,0.31434,0.31434
2,0.8,4758830,2379420,0.0268,0.022,0.236937,0.837794,0.29719,0.29719
3,0.8,7138250,2379420,0.0253,0.0206,0.22212,0.851109,0.283579,0.283579
4,0.8500000000000001,9517670,2379420,0.0239,0.0236,0.263714,0.853717,0.315377,0.315377
5,0.8500000000000001,11897090,2379420,0.0239,0.0228,0.251498,0.836441,0.308436,0.308436
