fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.5,295683,295692,0.2172,0.216,0.437225,0.712557,0.450906,0.450906
2,0.5,591375,295692,0.2166,0.1739,0.418384,0.76003,0.431175,0.431175
3,0.5,887067,295692,0.2024,0.1634,0.400396,0.767637,0.415426,0.415426
4,0.55,1182759,295692,0.1926,0.1895,0.434704,0.743276,0.437325,0.437325
5,0.5,1478451,295692,0.192,0.1854,0.414705,0.709666,0.423802,0.423802
