fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.7500000000000001,2391940,2391938,0.0887,0.0886,0.582545,0.885932,0.548262,0.548262
2,0.8,4783878,2391938,0.0887,0.0887,0.566301,0.879465,0.542781,0.542781
3,0.7500000000000001,7175816,2391938,0.089,0.0891,0.57251,0.883102,0.545398,0.545398
4,0.7500000000000001,9567754,2391938,0.0887,0.0885,0.577125,0.883585,0.547727,0.547727
5,0.7500000000000001,11959692,2391938,0.0885,0.089,0.591649,0.894097,0.560075,0.560075
