fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.6000000000000001,2383586,2383593,0.1711,0.169,0.590489,0.832584,0.542117,0.542117
2,0.6500000000000001,4767179,2383593,0.1698,0.1689,0.57399,0.822807,0.524525,0.524525
3,0.6000000000000001,7150772,2383593,0.1696,0.1699,0.588707,0.829535,0.54398,0.54398
4,0.6000000000000001,9534365,2383593,0.1698,0.1692,0.583147,0.826832,0.536774,0.536774
5,0.6000000000000001,11917958,2383593,0.1694,0.1669,0.606444,0.84352,0.557465,0.557465
