fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.55,2379410,2379420,0.1236,0.123,0.509281,0.811988,0.790222,0.471628
2,0.55,4758830,2379420,0.1233,0.1255,0.495631,0.803825,0.760144,0.453683
3,0.55,7138250,2379420,0.1241,0.1257,0.508986,0.81213,0.78019,0.465117
4,0.55,9517670,2379420,0.1245,0.1245,0.511143,0.806865,0.787833,0.469764
5,0.55,11897090,2379420,0.1245,0.1233,0.513853,0.79439,0.774957,0.465983
