fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.6000000000000001,2379410,2379420,0.0815,0.0819,0.486844,0.839156,0.826405,0.442956
2,0.6000000000000001,4758830,2379420,0.0817,0.084,0.469376,0.828946,0.796983,0.4239
3,0.6500000000000001,7138250,2379420,0.0825,0.0841,0.483846,0.836508,0.814731,0.435492
4,0.6500000000000001,9517670,2379420,0.0829,0.0829,0.487523,0.834874,0.819904,0.437532
5,0.6500000000000001,11897090,2379420,0.0829,0.0833,0.489485,0.817148,0.810627,0.438273
