fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.8,2391940,2391938,0.0887,0.0886,0.582856,0.886139,0.548343,0.548343
2,0.8,4783878,2391938,0.0887,0.0887,0.566607,0.879674,0.543384,0.543384
3,0.7500000000000001,7175816,2391938,0.089,0.0891,0.572615,0.883318,0.545509,0.545509
4,0.7500000000000001,9567754,2391938,0.0887,0.0885,0.5773,0.883938,0.548105,0.548105
5,0.7500000000000001,11959692,2391938,0.0885,0.089,0.592024,0.894328,0.560058,0.560058
