fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.9000000000000001,2379410,2379420,0.0141,0.014,0.220381,0.885433,0.288977,0.288977
2,0.9000000000000001,4758830,2379420,0.0141,0.0116,0.196861,0.889195,0.269859,0.269859
3,0.9000000000000001,7138250,2379420,0.0134,0.0107,0.18849,0.891767,0.261557,0.261557
4,0.9000000000000001,9517670,2379420,0.0125,0.0125,0.228327,0.896983,0.293348,0.293348
5,0.9000000000000001,11897090,2379420,0.0126,0.0121,0.208216,0.835311,0.285088,0.285088
