feature,gain_importance,shap_mean_abs
spike_now,0.423098,0.03138
cpu_vs_p95,0.104944,0.968652
time_to_p95_3,0.095704,0.155913
time_since_last_spike,0.087165,0.203362
spike_in_last_6,0.077947,0.029363
cpu_vs_p99,0.072163,0.245273
cpu_spike_rate_24,0.032022,0.21125
spike_in_last_3,0.021304,0.019047
band_position,0.012632,0.023193
cpu_vs_p95_delta,0.005635,0.099297
hour_cos,0.005592,0.153444
cpu_vs_p95_slope_3,0.005039,0.009115
spike_in_last_1,0.005013,0.006237
hour_sin,0.00492,0.156442
peak_cpu_vs_p95,0.004488,0.199722
cluster_cpu_p90,0.004282,0.072493
total_cpu,0.003212,0.076256
n_tasks,0.002922,0.095643
band_width,0.00282,0.098448
disk_io,0.002683,0.113014
machine_rank_in_cluster,0.002631,0.041431
cpu_lag_1,0.002407,0.033216
total_mem,0.001976,0.100935
peak_cpu_vs_p99,0.001887,0.038958
cpu_delta_1,0.001703,0.01697
cpu_rolling_std_6,0.001646,0.044979
peak_mem,0.001635,0.050232
cpu_vs_p95_slope_6,0.001546,0.009779
peak_cpu,0.001521,0.120412
cpu_ewma_6,0.001476,0.020476
cpu_ewma_24,0.001417,0.029835
cpu_lag_24,0.001237,0.006994
cpu_lag_12,0.001113,0.007897
cpu_delta_2,0.00104,0.034293
task_dominance,0.00085,0.009771
cpu_per_task,0.000824,0.00368
spike_severe_now,0.000457,8e-05
spike_severe_in_last_6,0.000403,7e-05
spike_severe_in_last_1,0.000334,3e-06
spike_severe_in_last_3,0.000312,2.4e-05
