fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.7500000000000001,2391940,2391938,0.0887,0.0886,0.578334,0.882917,0.547139,0.547139
2,0.8,4783878,2391938,0.0887,0.0887,0.561988,0.876247,0.541695,0.541695
3,0.7500000000000001,7175816,2391938,0.089,0.0891,0.567153,0.87937,0.544022,0.544022
4,0.7500000000000001,9567754,2391938,0.0887,0.0885,0.572284,0.879915,0.547035,0.547035
5,0.7500000000000001,11959692,2391938,0.0885,0.089,0.58911,0.891839,0.558394,0.558394
