fold,alarm_threshold,train_n,val_n,train_spike_rate,val_spike_rate,macro_pr_auc,macro_roc_auc,weighted_f1,macro_f1
1,0.7000000000000001,2387762,2387767,0.1337,0.1325,0.594879,0.862104,0.545928,0.545928
2,0.7000000000000001,4775529,2387767,0.1331,0.1326,0.581265,0.855403,0.538081,0.538081
3,0.7000000000000001,7163296,2387767,0.133,0.1334,0.591474,0.861456,0.550572,0.550572
4,0.7000000000000001,9551063,2387767,0.133,0.1325,0.588058,0.858646,0.54415,0.54415
5,0.6500000000000001,11938830,2387767,0.1325,0.1319,0.604949,0.870175,0.559965,0.559965
