feature,gain_importance,shap_mean_abs
spike_now,0.488175,0.019658
spike_in_last_6,0.108663,0.030509
time_since_last_spike,0.089061,0.190955
cpu_vs_p95,0.087539,0.863865
time_to_p95_3,0.05352,0.070973
cpu_spike_rate_24,0.050471,0.234505
cpu_vs_p99,0.045889,0.197629
spike_in_last_3,0.010169,0.006324
hour_cos,0.005439,0.180786
hour_sin,0.005296,0.18025
peak_cpu_vs_p95,0.004342,0.215252
spike_in_last_1,0.004218,0.002793
cpu_vs_p95_delta,0.004151,0.078649
cluster_cpu_p90,0.004051,0.115201
total_cpu,0.003152,0.14533
band_width,0.002517,0.101553
n_tasks,0.002367,0.082115
machine_rank_in_cluster,0.002335,0.044818
disk_io,0.002188,0.094973
total_mem,0.002108,0.131409
cpu_lag_1,0.001888,0.035975
peak_cpu,0.001835,0.162227
cpu_rolling_std_6,0.001807,0.060483
cpu_vs_p95_slope_6,0.001802,0.007432
peak_cpu_vs_p99,0.001761,0.045812
peak_mem,0.001705,0.068436
band_position,0.001525,0.005194
cpu_ewma_24,0.001346,0.107339
cpu_delta_1,0.001312,0.016049
cpu_vs_p95_slope_3,0.001307,0.005594
cpu_lag_24,0.001246,0.018917
cpu_ewma_6,0.001188,0.038655
cpu_per_task,0.001045,0.005476
cpu_lag_12,0.000956,0.012023
cpu_delta_2,0.000895,0.033223
task_dominance,0.000769,0.006623
spike_severe_now,0.000561,3.8e-05
spike_severe_in_last_1,0.000545,3e-06
spike_severe_in_last_6,0.00052,0.000103
spike_severe_in_last_3,0.000336,1.3e-05
